"","School.Type","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Gender.Ratio.M.to.F","Enrol_sum_all","Enrol_sum_JKto3","Enrol_sum_4to6"
"2440","Public","Medium","Low","Low","Medium","Medium","Highest","FALSE","High","High","High","High","Low","Lowest","Lowest","Low","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"2441","Public","Lowest","Low","Low","Medium","Medium","Highest","FALSE","Low","Lowest","Lowest","Low","Lowest","Lowest","Low","Low","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2443","Public","Lowest","Low","Low","Medium","Medium","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2445","Public","Lowest","Medium","Lowest","Medium","Medium","Medium","FALSE","High","Highest","High","Highest","High","High","Lowest","Highest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2446","Public","Lowest","Lowest","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2447","Public","Highest","Lowest","Low","Medium","Medium","Highest","FALSE","Medium","Low","High","Medium","Low","Low","Medium","Low","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2448","Public","High","Low","Low","Low","Lowest","Low","FALSE","High","Medium","Medium","High","Highest","Highest","Lowest","Highest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2450","Public","Lowest","Low","Low","Medium","Medium","Highest","FALSE","Low","Lowest","Lowest","Low","Low","Lowest","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2453","Public","High","Low","Lowest","Medium","Medium","High","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Medium","Low","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"2454","Public","Low","Low","Low","Medium","Medium","Medium","FALSE","Medium","High","Medium","Medium","Medium","Low","Lowest","High","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2455","Public","Low","Low","Low","Medium","Medium","Highest","FALSE","Low","Lowest","Low","Highest","Highest","High","Lowest","Medium","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2460","Public","Highest","Lowest","Low","Lowest","Lowest","Medium","FALSE","Low","Low","Low","Low","Low","Low","Low","High","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"2462","Public","Low","Low","Low","Medium","Medium","Highest","FALSE","Low","Low","Low","Lowest","Lowest","Lowest","Lowest","Low","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2464","Public","High","Low","Low","Medium","Medium","High","FALSE","Low","Low","Lowest","Low","Medium","Low","Lowest","Medium","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2466","Public","Lowest","High","Low","Highest","Highest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Medium","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2467","Public","Lowest","Low","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2468","Public","High","Low","Low","Lowest","Lowest","Low","FALSE","Low","Lowest","Lowest","Low","Low","Low","High","High","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"2470","Public","Low","Low","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Low","Lowest","Lowest","Low","Low","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2473","Public","Low","Low","Low","Medium","Medium","Highest","FALSE","Low","Medium","Low","Medium","Low","Lowest","Lowest","Medium","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2477","Public","Medium","Lowest","Low","High","High","High","FALSE","Highest","Highest","Highest","Medium","Medium","Medium","Medium","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"2479","Public","Lowest","Lowest","Low","High","High","Medium","FALSE","Medium","High","High","High","Low","Medium","Lowest","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2480","Public","High","Lowest","Low","High","High","High","FALSE","High","Medium","Medium","Medium","Medium","Medium","High","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2482","Public","Low","Lowest","Lowest","High","High","Medium","FALSE","Low","Medium","Medium","Medium","High","High","Lowest","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2484","Public","Medium","Low","Lowest","High","High","Lowest","FALSE","Highest","Highest","Highest","High","Medium","High","Lowest","Medium","YES","YES","NO","Lowest","Lowest","Lowest","Lowest"
"2486","Public","Low","Lowest","Low","High","High","Low","FALSE","High","Medium","Medium","Medium","Medium","Medium","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2488","Public","Lowest","Lowest","Low","High","High","Low","FALSE","Highest","Medium","Low","Low","Lowest","Lowest","High","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2489","Public","High","Lowest","Low","High","High","High","FALSE","Lowest","Medium","High","Low","Medium","Low","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2490","Public","Low","Lowest","Low","High","High","High","FALSE","Lowest","Low","Low","Low","Lowest","High","High","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2493","Public","Highest","Lowest","Lowest","High","High","Medium","FALSE","Medium","Low","Low","Medium","Low","Low","Lowest","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"2494","Public","High","Lowest","Low","High","High","Medium","FALSE","Low","Low","Low","Low","Lowest","Lowest","High","Lowest","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"2495","Public","Medium","Lowest","Lowest","Medium","Medium","High","FALSE","Medium","Medium","Lowest","Medium","Medium","Low","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2496","Public","Lowest","Lowest","Low","Medium","Medium","Highest","FALSE","Medium","Medium","High","High","Lowest","Lowest","Low","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2500","Public","Medium","Lowest","Low","Medium","Medium","Low","FALSE","Medium","Medium","Medium","Low","Lowest","Low","High","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2501","Public","Medium","Lowest","Low","Medium","Medium","High","FALSE","Low","Low","Low","Lowest","Lowest","Lowest","High","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2503","Public","Lowest","Lowest","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Medium","Medium","Medium","High","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2504","Public","Highest","Lowest","Low","Medium","Medium","Medium","FALSE","Low","Medium","Medium","Low","Low","Low","High","Low","YES","NO","YES","High","Lowest","Lowest","Lowest"
"2505","Public","Medium","Lowest","Low","Medium","Medium","High","FALSE","Highest","High","High","High","Medium","High","Low","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2506","Public","Low","Low","Low","Medium","Medium","Lowest","FALSE","Medium","Low","Medium","Medium","High","Medium","High","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2508","Public","Lowest","Lowest","Low","Medium","Medium","Medium","FALSE","Medium","Lowest","Lowest","Lowest","Lowest","Low","Low","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2509","Public","Highest","Lowest","Low","Medium","Medium","Low","FALSE","Medium","Low","Low","Medium","Low","Medium","Medium","Low","YES","NO","YES","High","Lowest","Lowest","Lowest"
"2510","Public","Medium","Lowest","Low","Medium","Medium","Highest","FALSE","Low","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2512","Public","High","Lowest","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","High","Lowest","YES","YES","NO","High","Lowest","Lowest","Lowest"
"2513","Public","Medium","Lowest","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Low","Lowest","Lowest","Lowest","Low","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2515","Public","Medium","Lowest","Low","Medium","Medium","Medium","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Low","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2517","Public","Lowest","Lowest","Low","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2519","Public","Highest","Lowest","Low","Medium","Medium","Low","FALSE","High","Medium","Medium","Low","Lowest","Medium","Low","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2520","Public","Lowest","Lowest","Low","Medium","Medium","High","FALSE","Medium","High","High","Low","Low","Low","Low","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2521","Public","Low","Lowest","Low","Medium","Medium","Highest","FALSE","Lowest","Low","Lowest","Low","Low","Low","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2522","Public","Highest","Lowest","Low","Medium","Medium","Medium","FALSE","Medium","Medium","Medium","Lowest","Lowest","Medium","Medium","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2523","Public","Medium","Lowest","Low","Medium","Medium","High","FALSE","Medium","Low","Low","High","Low","Lowest","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2526","Public","Low","Lowest","Low","Medium","Medium","Low","FALSE","High","High","Highest","Medium","Low","High","Lowest","Low","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2527","Public","Medium","Lowest","Lowest","Medium","Medium","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2528","Public","Low","Lowest","Low","Medium","Medium","High","FALSE","Medium","Low","Low","High","Medium","Medium","Highest","Lowest","YES","NO","NO","High","Lowest","Lowest","Lowest"
"2533","Catholic","Lowest","Lowest","Low","High","High","High","FALSE","Highest","Highest","Highest","Highest","Medium","High","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2534","Catholic","High","Lowest","Lowest","High","High","Highest","FALSE","Medium","Medium","Low","Medium","High","High","Low","Medium","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"2535","Catholic","Lowest","Lowest","Low","High","High","Highest","FALSE","Medium","Low","Low","Low","Medium","Low","Low","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"2537","Catholic","Low","Lowest","Low","High","High","Highest","FALSE","Low","Lowest","Low","Low","Low","Lowest","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2538","Catholic","Low","Lowest","Lowest","High","High","Highest","FALSE","High","Highest","Medium","Highest","Highest","High","Medium","Lowest","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"2539","Catholic","Low","Lowest","Low","High","High","Highest","FALSE","Highest","Medium","Highest","Low","High","High","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2544","Catholic","Low","Low","Low","Low","Low","Low","FALSE","Highest","Low","Low","Medium","Medium","Lowest","Medium","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2545","Catholic","Lowest","Low","Lowest","Low","Low","Low","FALSE","High","Medium","Medium","Highest","Highest","High","Low","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2546","Catholic","Lowest","Low","Low","Low","Low","High","FALSE","High","Highest","High","Medium","Low","Low","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2547","Catholic","Lowest","Low","Low","Low","Low","Highest","FALSE","Low","Lowest","Medium","High","High","Lowest","High","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2550","Catholic","Lowest","Low","Lowest","Low","Low","Low","FALSE","Highest","Highest","Highest","Highest","Highest","High","Medium","Medium","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2551","Catholic","Low","Low","Low","Low","Low","High","FALSE","Medium","Low","Low","Medium","High","Lowest","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2552","Catholic","Medium","Low","Lowest","Low","Low","Lowest","FALSE","Medium","Low","Low","Highest","Highest","High","Low","Medium","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"2554","Catholic","Lowest","Low","Low","Low","Low","Medium","FALSE","Medium","Medium","Low","Medium","Medium","High","Medium","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2555","Catholic","Low","Low","Low","Low","Low","Low","FALSE","Highest","High","High","Highest","Highest","Highest","Low","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2556","Catholic","Lowest","Low","Low","Low","Low","Lowest","FALSE","High","Medium","High","Low","Low","Low","Low","Lowest","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2557","Catholic","Low","Low","Low","Low","Low","High","FALSE","Lowest","Low","Lowest","Lowest","Low","Lowest","Medium","Low","YES","NO","YES","Lowest","Lowest","Lowest","Lowest"
"2558","Catholic","Lowest","Low","Low","Low","Low","Low","FALSE","Highest","Medium","High","Highest","Low","High","Low","Low","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2559","Catholic","Low","Low","Low","Low","Low","Lowest","FALSE","Lowest","Lowest","Lowest","Medium","Medium","Highest","Low","High","YES","NO","NO","Lowest","Lowest","Lowest","Lowest"
"2560","Catholic","Medium","High","Low","Medium","Medium","Highest","FALSE","Medium","Medium","Medium","Low","Low","Medium","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2562","Catholic","High","Medium","Low","Low","Low","High","FALSE","Low","Medium","Low","Low","Low","Medium","High","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2563","Catholic","Low","Highest","Lowest","Highest","Highest","Highest","FALSE","Lowest","Low","Lowest","Lowest","Lowest","Low","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2564","Catholic","Medium","High","Lowest","Medium","Medium","Highest","FALSE","Low","Low","Low","Medium","High","Medium","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2565","Catholic","High","High","Low","Highest","Highest","Highest","FALSE","Lowest","Lowest","Lowest","Lowest","Lowest","Lowest","Highest","Low","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2567","Catholic","Highest","Low","Low","Lowest","High","Medium","FALSE","Highest","Highest","Highest","High","High","Highest","Lowest","High","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2569","Catholic","Medium","High","Lowest","High","High","Highest","FALSE","Lowest","Low","Lowest","Low","Medium","Lowest","Highest","Lowest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2570","Catholic","Medium","Medium","Low","High","High","Highest","FALSE","Medium","Medium","High","Medium","Highest","Highest","Low","Medium","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2571","Catholic","Highest","Lowest","Low","Lowest","Lowest","Medium","FALSE","Highest","Highest","Highest","High","High","Highest","Lowest","Highest","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2572","Catholic","Lowest","Medium","Low","High","High","Highest","FALSE","Low","Low","Lowest","Low","Medium","Medium","Low","Medium","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2573","Catholic","High","Lowest","Low","High","High","Highest","FALSE","Low","Medium","Medium","Medium","Highest","High","Lowest","High","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2574","Catholic","High","Medium","Low","High","High","Medium","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","High","YES","NO","YES","Highest","Lowest","Lowest","Lowest"
"2575","Catholic","Low","Medium","Low","High","High","High","FALSE","Highest","Highest","Highest","Highest","Highest","Highest","Lowest","High","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
"2576","Catholic","Highest","Medium","Low","Low","Lowest","High","FALSE","Medium","High","Medium","High","High","Highest","Medium","Medium","YES","NO","NO","Highest","Lowest","Lowest","Lowest"
