"","BoardID","SchoolID","Board.Type","School.Type","School.Special.Condition.Code","School.Language","Enrolment","Percentage.of.Students.Whose.First.Language.Is.Not.English","Percentage.of.Students.Whose.First.Language.Is.Not.French","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.English.Speaking.Country","Percentage.of.Students.Who.Are.New.to.Canada.from.a.Non.French.Speaking.Country","Percentage.of.Students.Receiving.Special.Education.Services","Percentage.of.Students.Identified.as.Gifted","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.3.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Reading","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Writing","Percentage.of.Grade.6.Students.Achieving.the.Provincial.Standard.in.Mathematics","Percentage.of.Children.Who.Live.in.Low.Income.Households","Percentage.of.Students.Whose.Parents.Have.Some.University.Education","FSL.Core","FSL.Extended","FSL.Immersion","Junior.Kindergarten.Enrolment","Kindergarten.Enrolment","Grade.1.Enrolment","Grade.2.Enrolment","Grade.3.Enrolment","Grade.4.Enrolment","Grade.5.Enrolment","Grade.6.Enrolment","Grade.7.Enrolment","Grade.8.Enrolment","Board.Language","Elementary.Male.Educators","Elementary.Female.Educators"
"1604","B66117","281522","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",317,"SP","100","SP","SP","SP",NA,"74%","81%","55%","N/D","N/D","N/D","8.6","34.6","NO","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1605","B66117","368644","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",578,"39.8","100","4.5","4.5","18.6","SP","56%","51%","35%","86%","81%","51%","12.8","35.4","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1606","B66117","434639","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",319,"SP","100",NA,NA,"31.3","SP","75%","81%","59%","68%","72%","20%","13.9","13.4","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1608","B66117","477283","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",302,"SP","100","SP","SP","25.8","11.2","81%","85%","73%","94%","90%","55%","3.8","46.8","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1609","B66117","185582","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",346,"SP","100","SP","SP","26","SP","68%","47%","26%","76%","69%","17%","8.9","41","YES","NO","YES","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1610","B66117","223735","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",475,"2.5","99.8","2.3","2.3","15.1",NA,"42%","32%","20%","63%","60%","7%","10.5","35.3","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1612","B66117","289060","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",74,"SP","100",NA,NA,"SP",NA,"N/R","N/R","N/R","N/R","N/R","N/R","20.7","14.4","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1613","B66117","460015","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",384,"SP","99.7","SP","SP","24.2",NA,"78%","71%","61%","82%","68%","35%","18.1","18.4","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1614","B66117","363687","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",409,"23","100","SP","SP","12.4",NA,"86%","81%","67%","83%","78%","42%","9.1","42","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1615","B66117","460796","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",555,"23.8","100","4.7","4.7","11.1","SP","68%","70%","61%","94%","95%","71%","5.1","67.6","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1616","B66117","371483","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",188,NA,"100",NA,NA,"8.5",NA,"75%","62%","71%","91%","96%","57%","20.2","13.1","YES","NO","NO","2,254","2,447","2,373","2,375","2,346","2,421","2,270","2,395","2,259","2,249","English","287.70","1,333.30"
"1618","B66125","142832","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",510,"36.3","99.8","5.5","5.5","7.2",NA,"71%","66%","49%","N/D","N/D","N/D","23.2","38.6","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1621","B66125","506508","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",10,NA,"100",NA,NA,"SP",NA,NA,NA,NA,NA,NA,NA,"SP","SP","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1622","B66125","107280","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",727,"71.9","100","14.9","14.7","16.7",NA,"N/D","N/D","N/D","86%","85%","61%","19.5","79.6","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1624","B66125","243426","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",292,"48.3","100","14.7","15.8","13.6",NA,"76%","61%","54%","N/D","N/D","N/D","20","47.4","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1625","B66125","380164","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",374,"62","100","20.3","19.8","17.6",NA,"54%","54%","50%","N/D","N/D","N/D","30.8","52.5","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1626","B66125","612932","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",874,"65.3","99.8","16.4","15.9","11.2",NA,"88%","86%","79%","N/D","N/D","N/D","23.1","78.6","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1627","B66125","514900","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",520,"46.2","99.6","7.7","7.5","22.1","4.8","N/D","N/D","N/D","61%","62%","38%","22.3","39.1","YES","YES","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1628","B66125","431966","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",425,"8.2","99.8","SP","SP","15.5","SP","81%","81%","77%","95%","93%","66%","6.2","60.5","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1629","B66125","192910","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",664,"68.5","99.8","9.8","9.6","16.8",NA,"N/D","N/D","N/D","74%","76%","46%","22.8","53.9","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1630","B66125","314579","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",684,"54.2","99.9","6","5.8","20.6","SP","N/D","N/D","N/D","89%","88%","66%","12.4","68.5","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1631","B66125","111872","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",338,"77.2","100","34","34","12.7",NA,"38%","42%","20%","N/D","N/D","N/D","37.6","40.6","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1632","B66125","494275","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",606,"38.8","99.8","5.9","5.9","15.6","SP","N/D","N/D","N/D","84%","87%","38%","14.7","44.1","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1633","B66125","133698","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",529,"52.6","99.6","10.6","10.6","20.2",NA,"N/D","N/D","N/D","73%","68%","35%","31.1","37.3","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1635","B66125","201073","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",378,"39.4","99.7","5.8","5.8","6.8",NA,"71%","51%","49%","N/D","N/D","N/D","20.1","43.5","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1636","B66125","516210","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",193,"33.2","100","6.2","6.2","25.9",NA,"70%","70%","48%","N/D","N/D","N/D","29.5","38.8","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1637","B66125","193070","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",220,"49.5","100","8.2","8.2","12.7",NA,"85%","79%","71%","N/D","N/D","N/D","26.3","27.7","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1638","B66125","494577","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",458,"40.2","100","8.3","8.3","32.5",NA,"N/D","N/D","N/D","54%","47%","15%","22.5","29.8","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1639","B66125","254550","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",516,"65.5","100","10.3","10.5","8.7",NA,"73%","69%","49%","N/D","N/D","N/D","21.8","44","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1640","B66125","252530","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",247,"27.9","100","4.9","4.9","28.7","9.3","73%","68%","54%","N/D","N/D","N/D","19.7","41.2","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1641","B66125","518042","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",429,"22.8","100","5.8","5.8","15.8","7.4","71%","67%","50%","N/D","N/D","N/D","9.7","43.4","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1642","B66125","307548","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",377,"60.5","100","15.4","15.9","6.8",NA,"84%","78%","58%","N/D","N/D","N/D","30.7","47.5","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1645","B66125","510548","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",459,"33.6","99.8","4.6","4.6","7.4",NA,"88%","74%","64%","N/D","N/D","N/D","17.7","59.8","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1646","B66125","329215","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",301,"31.9","99.7","13.3","13.3","21.2",NA,"61%","45%","32%","N/D","N/D","N/D","19.3","31.3","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1647","B66125","267840","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",888,"68.8","99.9","3.5","3.5","8.4",NA,"84%","88%","76%","94%","96%","69%","12.2","64.1","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1648","B66125","124869","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",738,"64.9","99.2","11.8","11.8","13.5",NA,"87%","88%","76%","N/D","N/D","N/D","32.8","61","NO","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1649","B66125","626274","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",759,"69.3","99.9","7.1","7.1","9.4",NA,"91%","86%","86%","94%","94%","71%","14.5","54.1","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1650","B66125","254568","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",530,"67.7","99.8","13.2","13.4","12.8",NA,"83%","76%","74%","N/D","N/D","N/D","17.6","66.6","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1651","B66125","274763","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",202,"56.9","99.5","SP","SP","16.3",NA,"81%","62%","44%","N/R","N/R","N/R","11.4","61.6","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1652","B66125","514241","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",236,"65.3","100","36","36","16.5",NA,"55%","41%","45%","N/D","N/D","N/D","32.2","52.6","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1655","B66125","202987","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",827,"71.7","99.5","14.6","14.5","14.5",NA,"N/D","N/D","N/D","88%","89%","64%","21.1","74.6","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1656","B66125","217387","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",478,"77.8","99.8","16.1","16.1","11.9","SP","N/D","N/D","N/D","80%","71%","37%","37.3","49.9","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1657","B66125","173479","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",322,"68.3","100","28.6","28.6","10.5",NA,"63%","61%","55%","97%","97%","59%","27.2","58.2","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1658","B66125","336467","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",126,"23.8","100","SP","SP","15",NA,"62%","62%","50%","64%","55%","27%","15.1","44","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1659","B66125","351857","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",219,"19.6","100","5.9","5.9","24.6",NA,"34%","24%","17%","N/D","N/D","N/D","28.9","27","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1660","B66125","356921","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",497,"47.5","100","13.9","14.1","11.2",NA,"74%","76%","54%","N/D","N/D","N/D","12.1","65.6","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1661","B66125","329690","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",840,"55.5","99.5","6.5","6.5","15.8","SP","N/D","N/D","N/D","77%","74%","37%","13","48.8","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1662","B66125","382647","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",468,"55.6","99.1","10.5","10.5","15.5",NA,"69%","62%","53%","N/D","N/D","N/D","27.2","56.8","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1663","B66125","328448","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",264,"20.8","100","SP","3.8","16.6",NA,"52%","33%","29%","N/D","N/D","N/D","17.2","22.2","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1664","B66125","552399","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",275,"61.1","99.6","16.4","16","17.4","5.4","71%","85%","56%","N/D","N/D","N/D","38.1","62.8","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1665","B66125","536733","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",772,"72.2","99.9","5.1","5.2","18",NA,"N/D","N/D","N/D","81%","80%","40%","16.6","41.7","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1666","B66125","350192","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",409,"68.7","100","11.7","11.7","14.6","SP","69%","67%","65%","87%","85%","53%","22.1","55.7","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1667","B66125","163449","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",387,"60.2","100","9.6","9.6","13.9",NA,"87%","76%","56%","N/D","N/D","N/D","18.1","50","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1668","B66125","605063","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",661,"63.1","99.8","17.7","17.2","16.1",NA,"78%","79%","68%","N/D","N/D","N/D","19","81.8","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1669","B66125","228940","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",838,"70.9","100","10.1","10.3","8.2",NA,"85%","85%","83%","83%","86%","76%","17.4","49.2","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1670","B66125","229199","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",316,"64.2","100","14.9","14.6","11.7","SP","N/D","N/D","N/D","95%","91%","55%","22.4","62.2","YES","YES","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1671","B66125","605093","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",570,"21.4","100","5.3","5.4","10.7","SP","86%","84%","81%","N/D","N/D","N/D","12.5","71.8","YES","NO","YES","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1672","B66125","201316","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",174,"20.1","100","9.8","9.8","14.9",NA,"88%","100%","76%","90%","80%","55%","21.3","65.1","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1674","B66125","141070","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",576,"46.4","99.8","6.9","7.1","39.4","19.7","N/D","N/D","N/D","83%","82%","53%","13.4","71.1","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
"1675","B66125","229377","Pub Dist Sch Brd (E/F)","Public","Not applicable","English",555,"53.2","100","6.5","6.5","29","4.5","N/D","N/D","N/D","77%","76%","46%","15.8","46.1","YES","NO","NO","10,266","10,948","11,072","11,257","11,404","11,864","11,762","12,002","11,890","11,786","English","1,288.60","6,683.76"
